country,state,year,percentage_of_households_with_source_of_drinking_water_uompercentage_scaling_factor1,revenue_earned_uominrindianrupees_scaling_factor10000000,annual_urban_population_at_mid_year_uomnumber_scaling_factor1000,weighted_average_own_revenue_uominrindianrupees_scaling_factor10000000,revenue_uominrindianrupees_scaling_factor10000000,percentage_of_households_uompercentage_scaling_factor1
IND,Meghalaya,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Mizoram,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Mizoram,2001,47.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,59.62
IND,Mizoram,2002,75.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.05
IND,Mizoram,2008,75.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.05
IND,Mizoram,2011,75.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,73.64
IND,Mizoram,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.5
IND,Mizoram,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Mizoram,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.5
IND,Nagaland,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Nagaland,2001,42.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,49.6
IND,Nagaland,2002,51.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.43
IND,Nagaland,2008,51.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.43
IND,Nagaland,2011,51.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,62.04
IND,Nagaland,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.89
IND,Nagaland,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Nagaland,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.89
IND,Odisha,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Odisha,2001,72.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,46.25
IND,Odisha,2002,79.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,7.83
IND,Odisha,2008,79.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,7.83
IND,Odisha,2011,79.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,51.54
IND,Odisha,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,5.81
IND,Odisha,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Odisha,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.81
IND,Puducherry,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Puducherry,2001,95.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,91.34
IND,Puducherry,2002,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,0.61
IND,Puducherry,2008,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,0.61
IND,Puducherry,2011,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,79.95
IND,Puducherry,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.19
IND,Puducherry,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Puducherry,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.19
IND,Punjab,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
