State,District,Year,Month,predicted_risk
Andhra Pradesh,East Godavari,2020,11,0.075856075
Andhra Pradesh,East Godavari,2020,11,0.08583479
Andhra Pradesh,East Godavari,2020,11,0.089978464
Andhra Pradesh,East Godavari,2020,11,0.091274716
Andhra Pradesh,East Godavari,2020,11,0.091274716
Andhra Pradesh,East Godavari,2020,11,0.0904979
Andhra Pradesh,East Godavari,2020,11,0.0904979
Andhra Pradesh,East Godavari,2020,11,0.0904979
Andhra Pradesh,East Godavari,2020,12,0.12265357
Andhra Pradesh,East Godavari,2020,12,0.053668603
Andhra Pradesh,East Godavari,2020,12,0.04037098
Andhra Pradesh,East Godavari,2020,12,0.033595923
Andhra Pradesh,East Godavari,2020,12,0.03522344
Andhra Pradesh,East Godavari,2020,12,0.035747606
Andhra Pradesh,East Godavari,2020,12,0.038264066
Andhra Pradesh,East Godavari,2020,12,0.038290806
Andhra Pradesh,East Godavari,2020,12,0.038659308
Andhra Pradesh,East Godavari,2021,1,0.04596125
Andhra Pradesh,East Godavari,2021,1,0.05065338
Andhra Pradesh,East Godavari,2021,1,0.074372314
Andhra Pradesh,East Godavari,2021,1,0.07111047
Andhra Pradesh,East Godavari,2021,1,0.068429
Andhra Pradesh,East Godavari,2021,1,0.06877883
Andhra Pradesh,East Godavari,2021,1,0.06432288
Andhra Pradesh,East Godavari,2021,1,0.063974485
Andhra Pradesh,East Godavari,2021,1,0.063974485
Andhra Pradesh,East Godavari,2021,2,0.05881331
Andhra Pradesh,East Godavari,2021,2,0.057720445
Andhra Pradesh,East Godavari,2021,2,0.07505077
Andhra Pradesh,East Godavari,2021,2,0.073471606
Andhra Pradesh,East Godavari,2021,2,0.074229315
Andhra Pradesh,East Godavari,2021,2,0.07489224
Andhra Pradesh,East Godavari,2021,2,0.07559887
Andhra Pradesh,East Godavari,2021,2,0.07525535
Andhra Pradesh,East Godavari,2021,2,0.075323395
Andhra Pradesh,East Godavari,2021,3,0.035156198
Andhra Pradesh,East Godavari,2021,3,0.033918332
Andhra Pradesh,East Godavari,2021,3,0.029758401
Andhra Pradesh,East Godavari,2021,3,0.024620522
Andhra Pradesh,East Godavari,2021,3,0.024053764
Andhra Pradesh,East Godavari,2021,3,0.023254655
Andhra Pradesh,East Godavari,2021,3,0.021340694
Andhra Pradesh,East Godavari,2021,3,0.020041617
Andhra Pradesh,East Godavari,2021,3,0.01963518
Andhra Pradesh,East Godavari,2021,4,0.07182214
Andhra Pradesh,East Godavari,2021,4,0.12210741
Andhra Pradesh,East Godavari,2021,4,0.16650073
Andhra Pradesh,East Godavari,2021,4,0.2752565
Andhra Pradesh,East Godavari,2021,4,0.32281765
Andhra Pradesh,East Godavari,2021,4,0.32899615
Andhra Pradesh,East Godavari,2021,4,0.36643252
Andhra Pradesh,East Godavari,2021,4,0.36494988
Andhra Pradesh,East Godavari,2021,4,0.36497822
Andhra Pradesh,East Godavari,2021,5,0.24823387
Andhra Pradesh,East Godavari,2021,5,0.20808926
Andhra Pradesh,East Godavari,2021,5,0.24622059
Andhra Pradesh,East Godavari,2021,5,0.25023696
Andhra Pradesh,East Godavari,2021,5,0.26709318
Andhra Pradesh,East Godavari,2021,5,0.26409048
Andhra Pradesh,East Godavari,2021,5,0.26469034
Andhra Pradesh,East Godavari,2021,5,0.26469034
Andhra Pradesh,East Godavari,2021,5,0.26469034
Andhra Pradesh,Guntur,2020,1,0.42200062
Andhra Pradesh,Guntur,2020,1,0.2515171
Andhra Pradesh,Guntur,2020,1,0.3384921
