Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Sikkim,"Calendar Year (Jan - Dec), 2013",,6,17,23,0.28,4.6,2,33.8,21.4,8.5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2013",,1844,23,1867,144.3,20,7.9,1.1,12.8,2.9
India,Telangana,"Calendar Year (Jan - Dec), 2013",,1350.80329110715074182016,278.10655993382515272768,1628.90985104097589454784,57.400862891103495064478,16.4,24.499863613217930121248,7,23.5,11.4
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2013",,1.00000000000000000000,8.00000000000000000000,9.00000000000000000000,0.1200000000000000000000,2.241479157376714499847,1.8500000000000000000000,23.177717868405924795703,12.046624832780860997246,4.225586220605695927107
India,Tripura,"Calendar Year (Jan - Dec), 2013",,48,24,72,6.5,17.8,11.6,31.8,7.4,2.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",,7078,25,7103,413.5,20.7,11.3,0.6,17.1,2.2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",,34,2,36,18.9,18.8,2.9,2.9,1.8,0.7
India,West Bengal,"Calendar Year (Jan - Dec), 2013",,115,122,237,214.6,23.5,52.9,5.8,0.5,2.3
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2012",,0,4,4,,,0.28,7.5,,14.2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2012",,1786.58810315729305727088,390.37653435129828613596,2176.96463750859134340684,81.299137108896504935522,16.4,34.700136386782069878752,7,22,11.3
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2012",,0,10,10,,,9.5,68.8,,1.1
India,Assam,"Calendar Year (Jan - Dec), 2012",,4,0,4,22.3,7.2,38.8,12.4,0.2,
India,Bihar,"Calendar Year (Jan - Dec), 2012",,4821,119,4940,165.6,15.9,13.3,1.3,29.1,8.9
India,Chandigarh,"Calendar Year (Jan - Dec), 2012",,2,0,2,1.9,18.9,,,1.1,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2012",,262,344,606,32.7,12.8,78.2,30.6,8,4.4
India,Delhi,"Calendar Year (Jan - Dec), 2012",,44,0,44,28.1,16.8,,,1.6,
India,Goa,"Calendar Year (Jan - Dec), 2012",,9,1,10,0.25,1.7,1.4,10.2,36,0.7
India,Gujarat,"Calendar Year (Jan - Dec), 2012",,1026,221,1247,40.7,6.7,89.1,14.8,25.2,2.5
India,Haryana,"Calendar Year (Jan - Dec), 2012",,252,0,252,,51.1,20.2,,4.9,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2012",,126,3,129,17.2,25.2,3.9,5.7,7.3,0.8
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2012","PoA Act, 1989 does not extend in the State",,,,8.998767112451108421720,7.4,14.574090214730599509090,11.9,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2012",,696,287,983,39.8,12.1,86.4,26.2,17.4,3.3
India,Karnataka,"Calendar Year (Jan - Dec), 2012",,2594,373,2967,104.7,17.1,42.4,7,24.8,8.8
India,Kerala,"Calendar Year (Jan - Dec), 2012",,810,124,934,30.3,9.1,4.8,1.5,26.7,25.8
India,Ladakh,"Calendar Year (Jan - Dec), 2012","PoA Act, 1989 does not extend in the State",,,,0.201232887548891578280,7.4,0.325909785269400490910,11.9,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2012",,0,0,0,,,0.61,94.8,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2012",,2875,1218,4093,113.4,15.6,153.2,21.1,25.4,8
India,Maharashtra,"Calendar Year (Jan - Dec), 2012",,1086,307,1393,132.7,11.8,105.1,9.4,8.2,2.9
